Tahun,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
2019,Maluku,22.700582172602736,8.095068520246574,0,0,0,41,530,35,11
2019,Maluku Utara,24.68406390684932,9.749041196383562,0,0,0,2,1295,22,11
2019,Nusa Tenggara Barat,25.15668950136986,4.801917821808219,0,0,0,268,3829,18,19
2019,Nusa Tenggara Timur,25.962283057534247,4.069041088136986,0,0,0,11,0,4,1
2019,Papua,20.04543370684932,22.86547925643836,106,88,983,1638,3733,225,12
2019,Papua Barat,21.440764863013698,13.00876722479452,0,0,0,4,1017,23,10
2019,Riau,26.48869863561644,5.573972658273973,1,0,0,112,11269,75,16
2019,Sulawesi Barat,16.52279679452055,7.169863096876712,0,0,0,239,75,6,6
2019,Sulawesi Selatan,24.586198613698627,7.820547946273972,83,3,48,1850,45575,368,46
2019,Sulawesi Tengah,19.006940682191782,12.812328873972602,3,2,31,540,3404,38,18
2019,Sulawesi Tenggara,26.175456528767125,7.182465797643836,2,0,0,6702,1840,91,8
2019,Sulawesi Utara,25.171849071232877,5.333424667342466,4,0,0,899,682,0,5
2019,Sumatera Barat,24.116084441095893,4.77013703679452,6,3,6,205,6036,498,29
2019,Sumatera Selatan,27.05996575616438,5.359725999835616,2,0,1,108,4753,28,30
2019,Sumatera Utara,20.155753430136983,8.443835667178083,4,2,1,72,6762,33,22
2019,Yogyakarta,25.141678021917805,4.219725992410959,2,0,1,21,49,119,6
2020,Aceh,21.479155226775955,10.307103814016394,8,0,0,195,45849,45,87
2020,Bali,24.66941052459017,8.407376944480875,0,0,0,3,17,1,4
2020,Banten,25.944079950819678,9.04289616409836,25,4,68,7551,23115,81,50
2020,Bengkulu,26.024203106557376,9.486065563442622,10,0,0,422,2811,44,22
2020,Gorontalo,23.12193764754098,13.691256919754098,4,1,3,1865,18321,38,23
2020,Jakarta Raya,26.607946278688523,6.526502713770491,21,0,2,0,3967,0,59
2020,Jambi,26.32403235519126,6.997814177431693,0,0,0,2705,19454,2,39
2020,Jawa Barat,20.321800942622957,10.548360684699452,44,1,26,4228,368554,741,231
2020,Jawa Tengah,25.504804090163937,7.69289638057377,14,2,4,695,56178,49,263
2020,Jawa Timur,26.442884825136613,4.873497304535519,7,1,15,381,96264,338,140
2020,Kalimantan Barat,25.732046928961747,8.963934418224044,4,0,0,127,84221,211,54
2020,Kalimantan Selatan,25.16393442622951,8.684972677595628,0,0,0,2,37021,9,65
2020,Kalimantan Tengah,26.25759318306011,9.2882514115847,6,3,0,1,64690,301,64
2020,Kalimantan Timur,26.46697405464481,7.553278789972678,0,0,0,6,10081,41,22
2020,Kalimantan Utara,24.227891546448085,8.41584700204918,0,0,0,4,178,1,7
2020,Kepulauan Bangka Belitung,26.54854272131148,8.917486426229509,0,0,0,0,39,0,3
2020,Kepulauan Riau,27.09334030874317,7.38879783568306,0,0,0,12,426,1,3
2020,Lampung,26.27838127322404,7.452732172978142,0,0,0,3948,4387,6,25
2020,Maluku,22.99675545628416,8.875409847404372,0,0,0,11,809,17,10
2020,Maluku Utara,24.61848812021858,15.735245975956284,0,0,0,174,6836,14,17
2020,Nusa Tenggara Barat,25.208139849726777,4.920491870218579,3,0,4,29,5360,20,42
2020,Nusa Tenggara Timur,26.065255103825137,5.47021860295082,0,0,0,2,526,0,3
2020,Papua,20.31101998087432,32.11666642087432,2,0,0,47,31,6,6
2020,Papua Barat,21.709654106557377,15.098633912786886,7,0,7,464,2865,2,6
2020,Riau,26.282752639344263,6.822404411475411,0,0,0,13,4564,0,19
2020,Sulawesi Barat,16.86376367486339,12.399726802213117,0,0,0,3,1310,6,5
2020,Sulawesi Selatan,24.63637280327869,10.664480950519126,46,9,110,6597,49275,534,52
2020,Sulawesi Tengah,19.05410954644809,17.629781539590166,0,1,2,462,5727,21,46
2020,Sulawesi Tenggara,25.75268650819672,9.149726731174862,0,0,0,50,3464,80,6
2020,Sulawesi Utara,25.3253986284153,8.613114770819672,7,0,6,7594,17178,29,10
2020,Sumatera Barat,23.98181924043716,5.9770491699180335,3,1,3,135,6956,71,86
2020,Sumatera Selatan,26.298724915300543,7.076229517021858,2,0,0,995,10800,49,56
2020,Sumatera Utara,20.233800098360657,9.45546449464481,22,4,31,477,81021,90,78
