Tahun,Provinsi,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir,temperature_2m_mean (°C),rain_sum (mm)
2019,Jawa Timur,4,0,1,97.0,33738,136,99,26.5751597260274,4.464383553260274
2019,Kalimantan Barat,1,0,0,14.0,6915,21,19,26.15423523561644,6.886849237616438
2019,Kalimantan Selatan,0,0,0,1.0,1476,3,20,25.522465753424655,5.745479452054794
2019,Kalimantan Tengah,0,0,0,1.0,9344,198,30,26.479143715068496,6.857534194082192
2019,Kalimantan Timur,0,0,0,21.0,976,28,12,26.66713469863014,5.318904101726028
2019,Kalimantan Utara,0,0,0,13.0,772,11,5,24.2681733890411,8.148219244054795
2019,Kepulauan Bangka Belitung,0,0,1,271.0,527,3,12,26.81986298630137,7.220547992136986
2019,Kepulauan Riau,0,0,0,1.0,130,8,1,27.29127831780822,4.998356166958904
2019,Lampung,2,0,0,68.0,5566,39,10,26.75807090684932,5.611232914493151
2019,Maluku,0,0,0,41.0,530,35,11,22.700582172602736,8.095068520246574
2019,Maluku Utara,0,0,0,2.0,1295,22,11,24.68406390684932,9.749041196383562
2019,Nusa Tenggara Barat,0,0,0,268.0,3829,18,19,25.15668950136986,4.801917821808219
2019,Nusa Tenggara Timur,0,0,0,11.0,0,4,1,25.962283057534247,4.069041088136986
2019,Papua,106,88,983,1638.0,3733,225,12,20.04543370684932,22.86547925643836
2019,Papua Barat,0,0,0,4.0,1017,23,10,21.440764863013698,13.00876722479452
2019,Riau,1,0,0,112.0,11269,75,16,26.48869863561644,5.573972658273973
2019,Sulawesi Barat,0,0,0,239.0,75,6,6,16.52279679452055,7.169863096876712
2019,Sulawesi Selatan,83,3,48,1850.0,45575,368,46,24.586198613698627,7.820547946273972
2019,Sulawesi Tengah,3,2,31,540.0,3404,38,18,19.006940682191782,12.812328873972602
2019,Sulawesi Tenggara,2,0,0,6702.0,1840,91,8,26.175456528767125,7.182465797643836
2019,Sulawesi Utara,4,0,0,899.0,682,0,5,25.171849071232877,5.333424667342466
2019,Sumatera Barat,6,3,6,205.0,6036,498,29,24.116084441095893,4.77013703679452
2019,Sumatera Selatan,2,0,1,108.0,4753,28,30,27.05996575616438,5.359725999835616
2019,Sumatera Utara,4,2,1,72.0,6762,33,22,20.155753430136983,8.443835667178083
2019,Yogyakarta,2,0,1,21.0,49,119,6,25.141678021917805,4.219725992410959
2020,Aceh,8,0,0,195.0,45849,45,87,21.479155226775955,10.307103814016394
2020,Bali,0,0,0,3.0,17,1,4,24.66941052459017,8.407376944480875
2020,Banten,25,4,68,7551.0,23115,81,50,25.944079950819678,9.04289616409836
2020,Bengkulu,10,0,0,422.0,2811,44,22,26.024203106557376,9.486065563442622
2020,Gorontalo,4,1,3,1865.0,18321,38,23,23.12193764754098,13.691256919754098
2020,Jakarta Raya,21,0,2,0.0,3967,0,59,26.607946278688523,6.526502713770491
2020,Jambi,0,0,0,2705.0,19454,2,39,26.32403235519126,6.997814177431693
2020,Jawa Barat,44,1,26,4228.0,368554,741,231,20.321800942622957,10.548360684699452
2020,Jawa Tengah,14,2,4,695.0,56178,49,263,25.504804090163937,7.69289638057377
2020,Jawa Timur,7,1,15,381.0,96264,338,140,26.442884825136613,4.873497304535519
2020,Kalimantan Barat,4,0,0,127.0,84221,211,54,25.732046928961747,8.963934418224044
2020,Kalimantan Selatan,0,0,0,2.0,37021,9,65,25.16393442622951,8.684972677595628
2020,Kalimantan Tengah,6,3,0,1.0,64690,301,64,26.25759318306011,9.2882514115847
2020,Kalimantan Timur,0,0,0,6.0,10081,41,22,26.46697405464481,7.553278789972678
2020,Kalimantan Utara,0,0,0,4.0,178,1,7,24.227891546448085,8.41584700204918
2020,Kepulauan Bangka Belitung,0,0,0,0.0,39,0,3,26.54854272131148,8.917486426229509
2020,Kepulauan Riau,0,0,0,12.0,426,1,3,27.09334030874317,7.38879783568306
2020,Lampung,0,0,0,3948.0,4387,6,25,26.27838127322404,7.452732172978142
2020,Maluku,0,0,0,11.0,809,17,10,22.99675545628416,8.875409847404372
2020,Maluku Utara,0,0,0,174.0,6836,14,17,24.61848812021858,15.735245975956284
