Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
44;3201 105 2023 09 022 1;3201;22/09/23;PUTING BELIUNG;Kec. Caringin  Ds. Ciherang pondok;BOGOR;JAWA BARAT;Dokumentasi;Dipicu oleh angin yang cukup kencang menyebabkan pohon tumbang dan menimpa rumah;;;;1;;0
45;1601 106 2023 09 022 1;1601;22/09/23;KEKERINGAN;Kec.   Baturaja Bara Ds.  Air Gading;OGAN KOMERING ULU;SUMATERA SELATAN;Dokumentasi;Dipicu oleh musim kemarau panjang;;;;0;;0
46;3208 105 2023 09 022 1;3208;22/09/23;PUTING BELIUNG;Kec. Kuningan Ds. Kuningan;KUNINGAN;JAWA BARAT;Dokumentasi;Dipicu oleh Angin cukup kencang;;;;1;;0
47;3308 107 2023 09 021 1;3308;21/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Srumbung Ds. Tegalrandu Ds. Ngargosoko Kec. Windusari Ds. Kembangkuning;MAGELANG;JAWA TENGAH;Dokumentasi;Dalam proses penyelidikan;;;;0;;0
48;1312 101 2023 09 021 1;1312;21/09/23;BANJIR;Kec. Ranah Batahan Kec. Lembah Melintang Kec. Sungai Aur Kec. Sasak Ranah Pasisia Kec. Sungai Beremas Kec. Koto Balingka Kec. Kinali;PASAMAN BARAT;SUMATERA BARAT;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;12;743;1
49;7101 107 2023 09 021 1;7101;21/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Bolaang Ds. Inobonto I;BOLAANG MONGONDOW;SULAWESI UTARA;Dokumentasi;Masih dalam penyelidikan;;;;0;;0
50;7307 106 2023 09 021 1;7307;21/09/23;KEKERINGAN;Kec. Sinjai Timur Kec. Sinjai Tengah Kec. Bulupoddo Kec. Tellulimpoe Kec. Sinjai Selatan Kec. Pulau Semblan;SINJAI;SULAWESI SELATAN;Dokumentasi;Akibat musim kemarau;;;;0;;0
51;1102 101 2023 09 020 1;1102;20/09/23;BANJIR;Kec. Danau Paris Ds. Situban Makmur Ds. Sikoran Ds. Lae Balno;ACEH SINGKIL;ACEH;Dokumentasi;Hujan yg terus menerus  melanda sebagian besar Wilayah Kab. Aceh Singkil;;;;1;;0
52;1214 101 2023 09 020 1;1214;20/09/23;BANJIR;Kec. Teluk Dalam Ds. Pasar Teluk Dalam Ds. Bawodobara Ds. Hililaza Ds. Nanowa Ds. Hilisaoto Niha Kec. Luahagundre Ds. Botohili Silambo Kec. Fanayama Ds.  Orahili Eho Ds. Orahili Fau Ds. Bawomataluo Kec. Onolalu Ds. Hilifalago Ds. Hilifalago Raya Ds. Hilionaha Ds. Hilikara Ds. Hilimondregeraya Ds. Hilinamozaua Ds. Hilifarono Kec.  Luahagundre Maniamolo Ds. Hiliamaeta Kec. Huruna Ds. Sifaoroasi;NIAS SELATAN;SUMATERA UTARA;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;1;100;0
53;1306 101 2023 09 020 1;1306;20/09/23;BANJIR;Kec. VII Koto Patamuan Nagari Tandikek Nagari Tandikek Utara Nagari Tandikek Barat Kec. VII Koto Nagari Sungai Sariak Nagari Bisati Sungai Sariak Nagari Balah Aie Nagari Lareh Nan Panjang Selatan Kec. 2 x 11 Anam Lingkuang Nagari Sicincin Nagari Lubuak Pandan Kec. 2 x 11 Kayu Tanam Nagari Anduriang Nagari Guguak Nagari Kapalo Hilalang Kec. V Koto Nagari Sikucua Nagari Sikucua Tangah Kec. Nan Sabaris Nagari Padang Kandang Pulau Aia Padang Bintuangan Nagari Kapalo Koto Kec. Sungai Garinggiang Nagari Batu Gadang Kuranji Hulu Kec. Ulakan Tapakih Nagari Sandi Ulakan Nagari Kanggopoh Palak Gadang Ulakan Nagari Kampuang Galapuang Ulakan Kec. Anam Lingkung Nagari Koto Tinggi Kec. V Koto Timur Nagari Gunuang Padang Alai Kec. IV Koto Aua Malintang Nagari  III Koto Aua Malintang Kec. Sungai Limau  Nagari Pilubang;PADANG PARIAMAN;SUMATERA BARAT;Dokumentasi;Curah hujan yang tinggi sehingga menyebakan hujan lebat sehingga meningkatnya debit air beberapa sungai;;;;0;486;12
54;1377 101 2023 09 020 1;1377;20/09/23;BANJIR;Kec. Pariaman Timur Ds. Punggung Ladiang;KOTA PARIAMAN;SUMATERA BARAT;Dokumentasi;Curah hujan yang tinggi di hulu sungai sehingga menyebabkan meningkatnya debit air sungai;;;;0;25;0
