bulan,tanggal,volume_sampah_perhari(m3),tahun
3,30,2718.7400000000002,2021
3,31,2707.42,2021
5,1,2447.02,2020
5,2,2486.96,2020
5,3,2182.83,2020
5,4,2433.1,2020
5,5,2318.08,2020
5,6,2419.12,2020
5,7,2223.04,2020
5,8,2384.88,2020
5,9,2424.16,2020
5,10,2564.16,2020
5,11,2255.16,2020
5,12,2514.12,2020
5,13,1637.12,2020
5,14,1527.32,2020
5,15,2107.9,2020
5,16,2442.78,2020
5,17,2532.36,2020
5,18,2590.44,2020
5,19,2973.08,2020
5,20,2433.54,2020
5,21,3086.54,2020
5,22,2842.06,2020
5,23,2930.94,2020
5,24,807.5,2020
5,25,896.92,2020
5,26,2650.2,2020
5,27,2790.9,2020
5,28,2551.86,2020
5,29,2399.5,2020
5,30,2624.42,2020
5,31,2342.0,2020
5,1,2645.61,2021
5,2,2647.12,2021
5,3,2627.89,2021
5,4,2316.3,2021
5,5,2496.13,2021
5,6,3004.1,2021
5,7,2665.21,2021
5,8,2439.11,2021
5,9,2767.51,2021
5,10,3010.08,2021
5,11,2589.18,2021
5,12,2830.1,2021
5,13,130.6,2021
5,14,248.6,2021
5,15,2848.43,2021
5,16,2965.92,2021
5,17,3349.26,2021
5,18,3083.94,2021
5,19,2915.46,2021
5,20,2820.31,2021
5,21,2575.32,2021
5,22,2811.7400000000002,2021
5,23,2596.43,2021
5,24,2615.18,2021
5,25,2947.7,2021
5,26,3006.19,2021
5,27,2716.61,2021
5,28,2604.88,2021
5,29,2968.11,2021
5,30,2683.44,2021
5,31,2874.69,2021
11,1,2174.54,2020
11,2,2441.04,2020
11,3,2746.18,2020
11,4,2606.68,2020
11,5,2204.84,2020
11,6,2404.86,2020
11,7,2344.28,2020
11,8,1951.1,2020
11,9,2516.0,2020
11,10,2269.9,2020
11,11,2409.02,2020
11,12,2505.7,2020
11,13,1228.8,2020
11,14,1086.82,2020
11,15,2317.24,2020
11,16,2331.58,2020
11,17,2650.22,2020
11,18,2388.0,2020
11,19,2583.4,2020
11,20,2421.88,2020
11,21,2332.3,2020
11,22,2066.1,2020
11,23,2579.44,2020
11,24,2702.06,2020
11,25,2785.34,2020
11,26,2703.84,2020
11,27,2723.36,2020
11,28,2681.72,2020
11,29,2299.04,2020
11,30,2684.18,2020
10,1,2044.26,2020
10,2,2161.66,2020
10,3,2329.26,2020
