Date,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
April 2020,Sumatera Selatan,26.352360533333336,12.80666714,0,0,0,0,511,4,2
April 2020,Sumatera Utara,20.48763903333333,15.7433332,6,2,1,267,7816,20,14
April 2020,Yogyakarta,25.8743053,4.419999978000001,0,0,0,0,0,0,0
April 2021,Aceh,21.3049997,11.623333296666663,0,0,0,3,530,0,3
April 2021,Bali,24.62541686666667,5.103333506666667,0,0,0,1,0,0,1
April 2021,Banten,25.87958353333333,7.003333517333333,0,0,0,0,379,0,4
April 2021,Bengkulu,25.89291623333333,5.233333286666666,0,0,0,0,0,0,0
April 2021,Gorontalo,23.3072224,13.30666683,0,0,0,0,222,0,2
April 2021,Jakarta Raya,26.2763885,5.480000154666667,0,0,0,0,0,0,1
April 2021,Jambi,26.25958363333333,7.890000145,0,0,0,5,34,1,2
April 2021,Jawa Barat,20.17777806666667,8.979999698333334,0,0,0,129,18565,1,24
April 2021,Jawa Tengah,25.00833313333333,4.733333294666666,0,0,0,41,7763,0,7
April 2021,Jawa Timur,25.9547224,3.75666664,7,0,0,280,14400,28,15
April 2021,Kalimantan Barat,26.09375033333333,5.846666755,0,0,0,4,28202,2,6
April 2021,Kalimantan Selatan,25.383333333333333,4.503333333333333,0,0,0,0,0,0,0
April 2021,Kalimantan Tengah,26.563333433333334,6.456666828,0,0,0,0,2245,0,4
April 2021,Kalimantan Timur,26.5334722,6.846666859333334,0,0,85,1,1495,0,2
April 2021,Kalimantan Utara,24.396666433333333,10.30333347,0,0,0,0,0,0,0
April 2021,Kepulauan Bangka Belitung,26.74722223333333,7.800000062666666,0,0,0,0,0,0,0
April 2021,Kepulauan Riau,27.66944426666667,1.9966666866666667,0,0,0,0,381,0,1
April 2021,Lampung,26.418333466666663,5.846666760000001,0,0,0,0,0,0,0
April 2021,Maluku,23.10916693333333,10.22000002,0,0,0,4,42,0,1
April 2021,Maluku Utara,24.698611000000003,12.593333516666666,0,0,0,38,38,0,3
April 2021,Nusa Tenggara Barat,24.44375063333333,3.976666608333333,0,0,0,4,70,0,3
April 2021,Nusa Tenggara Timur,25.23347263333333,5.763333363333333,149,34,202,39020,23860,3429,15
April 2021,Papua,20.4141666,22.07999995333333,0,0,0,0,0,0,0
April 2021,Papua Barat,21.499027366666667,9.969999913333334,0,0,0,0,0,0,0
April 2021,Riau,26.1191665,7.440000044666666,0,0,0,502,1709,3,14
April 2021,Sulawesi Barat,16.563194333333332,5.546666676666666,0,0,0,8,343,3,4
April 2021,Sulawesi Selatan,25.209027733333336,4.5666666933333335,0,0,0,0,0,0,0
April 2021,Sulawesi Tengah,19.163611433333337,13.556666933333334,0,0,3,12,0,0,1
April 2021,Sulawesi Tenggara,26.378889166666667,5.93000002,0,0,0,0,0,0,0
April 2021,Sulawesi Utara,25.588472966666664,6.376666623333334,1,0,0,0,208,0,1
April 2021,Sumatera Barat,23.574444033333336,5.676666576666666,0,0,0,0,153,0,2
April 2021,Sumatera Selatan,26.255833366666664,6.053333426333333,0,0,0,0,310,0,1
April 2021,Sumatera Utara,20.1044444,8.279999901666667,0,0,0,0,26421,0,7
April 2021,Yogyakarta,25.451527433333336,3.7733333283333335,0,0,0,0,0,0,0
April 2022,Aceh,21.439583666666667,12.280000016666666,2,0,0,122,26985,8,11
April 2022,Bali,24.789861066666667,7.1966669450000005,0,0,0,0,0,0,0
April 2022,Banten,25.800415966666662,9.246666683333332,0,0,0,2,5797,0,6
April 2022,Bengkulu,26.3806942,5.15000005,0,0,0,9,101,2,3
April 2022,Gorontalo,23.1698614,15.610000053333332,0,0,0,0,238,0,2
April 2022,Jakarta Raya,26.5719447,6.176666679666667,0,0,0,0,0,0,1
April 2022,Jambi,26.4109727,8.623333256666665,0,0,0,0,0,0,0
April 2022,Jawa Barat,20.1858333,13.263333621333334,0,1,0,10,6245,5,27
April 2022,Jawa Tengah,25.010416466666666,6.883333291666667,0,0,0,2,606,1,8
April 2022,Jawa Timur,25.9916663,5.883333276666666,0,0,0,0,805,1,10
April 2022,Kalimantan Barat,25.948472666666664,9.993333273333333,1,0,2,0,32,18,2
April 2022,Kalimantan Selatan,25.23333333333333,5.77,0,0,0,0,2543,0,2
April 2022,Kalimantan Tengah,26.29277783333333,10.246666773333336,0,0,0,0,4867,0,4
