Tahun,Province,temperature_2m_mean (°C),rain_sum (mm)
2020,Sumatera Utara,20.233800098360657,9.45546449464481
2020,Yogyakarta,25.435712576502734,6.1281420933333335
2021,Aceh,21.255045597260274,9.266849332739726
2021,Bali,24.3162215369863,10.434246612246575
2021,Banten,25.81340191780822,6.52438353890411
2021,Bengkulu,25.74081031506849,7.92712326339726
2021,Gorontalo,22.974246665753427,13.926301526958904
2021,Jakarta Raya,26.289006663013698,6.1950685373424665
2021,Jambi,26.167865199999998,6.984931466547946
2021,Jawa Barat,20.0914955369863,10.67479450671233
2021,Jawa Tengah,25.209657624657535,7.418630137863014
2021,Jawa Timur,26.220913194520545,5.230958941205479
2021,Kalimantan Barat,25.72107321369863,8.376438327890412
2021,Kalimantan Selatan,24.885753424657533,8.304657534246575
2021,Kalimantan Tengah,26.149303512328768,8.782191795561644
