,objectid,uid,updated,nm_balai,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,kl_dat_das,thn_data
56,106,759fc969-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Sulawesi Tengah,72.0,Sulawesi Tengah,Poso,Poso Kota,Gebang Rejo,33.0,5.0,Tidak Diketahui,Tidak Diketahui
57,107,759fca67-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Tengah,72.0,Sulawesi Tengah,Tidak Diketahui,Kecamatan Parigi Utara,Desa Pangi,33.0,5.0,Tidak Diketahui,Tidak Diketahui
58,108,759fcab3-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Tengah,72.0,Sulawesi Tengah,Tidak Diketahui,Kecamatan Palu Timur,Kelurahan Lolu Utara,33.0,5.0,Tidak Diketahui,Tidak Diketahui
59,109,759fcaec-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Tengah,72.0,Sulawesi Tengah,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
60,110,759fcb29-ca7a-11eb-a0e3-0050568846de,1631806803000,BPPW Sulawesi Tengah,72.0,Sulawesi Tengah,Toli-Toli,Baolan,Baru,33.0,5.0,Tidak Diketahui,Tidak Diketahui
61,111,75f670cb-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Tenggara,74.0,Sulawesi Tenggara,Tidak Diketahui,Kendari,Kendari,33.0,5.0,Tidak Diketahui,Tidak Diketahui
62,112,75f671af-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Tenggara,74.0,Sulawesi Tenggara,Tidak Diketahui,Kendari,Kendari,33.0,5.0,Tidak Diketahui,Tidak Diketahui
63,113,76396e66-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Utara,71.0,Sulawesi Utara,Tidak Diketahui,Bitung,Bitung,33.0,5.0,Tidak Diketahui,Tidak Diketahui
64,114,76396f21-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Utara,74.0,Sulawesi Utara,Tidak Diketahui,Baubau,Baubau,33.0,5.0,Tidak Diketahui,Tidak Diketahui
65,115,76396f67-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Utara,74.0,Sulawesi Utara,Tidak Diketahui,Baubau,Baubau,33.0,5.0,Tidak Diketahui,Tidak Diketahui
66,116,76396fa4-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Utara,71.0,Sulawesi Utara,Tidak Diketahui,Bitung,Bitung,33.0,5.0,Tidak Diketahui,Tidak Diketahui
67,117,7639714f-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Utara,71.0,Sulawesi Utara,Tidak Diketahui,Minahasa Tenggara,Minahasa Tenggara,33.0,5.0,Tidak Diketahui,Tidak Diketahui
68,118,7639732f-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sulawesi Utara,74.0,Sulawesi Utara,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
69,119,768bb84f-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sumatera Barat,13.0,Sumatera Barat,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
70,120,76d6a246-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sumatera Selatan,16.0,Sumatera Selatan,Tidak Diketahui,Seberang Ulu,Ulu,33.0,5.0,Tidak Diketahui,Tidak Diketahui
71,121,76d6a2fb-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sumatera Selatan,16.0,Sumatera Selatan,Tidak Diketahui,Seberang Ulu,Ulu,33.0,5.0,Tidak Diketahui,Tidak Diketahui
72,122,771b43a7-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Sumatera Utara,12.0,Sumatera Utara,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
73,123,66d942b6-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Kepulauan Sula,Sanana,Falahu,33.0,5.0,Tidak Diketahui,Tidak Diketahui
74,124,66d943f7-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Selatan,Bacan Selatan,Kampung Makian,33.0,5.0,Tidak Diketahui,Tidak Diketahui
75,126,66d944a2-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Selatan,Bacan Selatan,Kampung Makian,33.0,5.0,Tidak Diketahui,Tidak Diketahui
76,127,66d944da-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Tengah,Weda,Fidi Jaya,33.0,5.0,Tidak Diketahui,Tidak Diketahui
77,128,66d94512-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Tengah,Weda,Wedana,33.0,5.0,Tidak Diketahui,Tidak Diketahui
78,129,66d94548-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Tengah,Weda,Wedana,33.0,5.0,Tidak Diketahui,Tidak Diketahui
79,131,66d945b3-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Timur,Kota Maba,Wailukum,33.0,5.0,Tidak Diketahui,Tidak Diketahui
80,132,66d945ea-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Timur,Kota Maba,Wailukum,33.0,5.0,Tidak Diketahui,Tidak Diketahui
81,133,66d94622-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Timur,Kota Maba,Maba Sangaji,33.0,5.0,Tidak Diketahui,Tidak Diketahui
82,134,66d94657-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Tidore Kepulauan,Oba Utara,Oba,33.0,5.0,Tidak Diketahui,Tidak Diketahui
83,136,66d946c0-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Tidore Kepulauan,Oba Utara,Galala,33.0,5.0,Tidak Diketahui,Tidak Diketahui
