No,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
72,7313 101 2022 012 024 1,7313,24/12/22,BANJIR,WAJO,SULAWESI SELATAN,Dokumentasi,"Dipicu oleh curah hujan dengan intensitas sedang hingga deras, mengakibatkan meluapnya air Sungai Walennae serta tingginya debit air dari hulu Sungai yang bermuara di Danau Tempe.",2,0,0,0,7681,0
73,7304 105 2022 012 024 1,7304,24/12/22,PUTING BELIUNG,JENEPONTO,SULAWESI SELATAN,Dokumentasi,Hujan deras disertai angin Kencang,0,0,0,0,0,0
74,7314 105 2022 012 024 1,7314,24/12/22,PUTING BELIUNG,SIDENRENG RAPPANG,SULAWESI SELATAN,Dokumentasi,Cuaca Ekstrim/Hujan disertai dengan Angin Kencang sehingga mengakibatkan mengakibatkan 1 (Satu) Rumah Mengalami Kerusakan,0,0,0,3,0,0
75,7315 101 2022 012 024 1,7315,24/12/22,BANJIR,PINRANG,SULAWESI SELATAN,Dokumentasi,Dipicu hujan lebat sehingga mengakibatkan Laka tunggal yang mengakibatkan mobil terjun ke irigasi pembuangan,0,1,0,0,0,0
76,7414 104 2022 012 024 1,7414,24/12/22,GELOMBANG PASANG / ABRASI,BUTON TENGAH,SULAWESI TENGGARA,Dokumentasi," Cuaca Ekstrim disertai Angin Kencang dan Hujan Lebat serta ombak dan gelombang tinggi yang mengakibatkan rubuh dan ambruknya jembatan, talud pantai sehingga hempasan air laut masuk ke pemukiman warga (ROB)",0,0,0,0,27,0
77,7307 105 2022 012 024 1,7307,24/12/22,PUTING BELIUNG,SINJAI,SULAWESI SELATAN,Dokumentasi,Dipicu curah hujan tinggi disertai angin kencang,0,0,1,44,0,0
78,5203 101 2022 012 024 1,5203,24/12/22,BANJIR,LOMBOK TIMUR,NUSA TENGGARA BARAT,Dokumentasi,Dipicu hujan dengan intensitas lebat dan disertai angin yang kencang,0,0,0,0,200,0
79,3202 105 2022 012 024 1,3202,24/12/22,PUTING BELIUNG,SUKABUMI,JAWA BARAT,Dokumentasi,Cuaca Ekstrim Hujan Dengan Intensitas Tinggi disertai dengan angin kencang,0,0,0,2,0,0
80,7306 102 2022 012 024 1,7306,24/12/22,TANAH LONGSOR,GOWA,SULAWESI SELATAN,Dokumentasi,Dipicu hujan dengan intensitas tinggi dan struktur tanah labil mengakibatkan longsor,4,1,0,0,0,0
81,7303 105 2022 012 024 1,7303,24/12/22,PUTING BELIUNG,BANTAENG,SULAWESI SELATAN,Dokumentasi,hujan disertai angin kencang dan gelombang pasang,0,0,0,11,0,2
