,objectid,uid,creator,created,updater,updated,nm_balai,koord_x,koord_y,foto,data_src,last_sync,sync_notes,tgl_inspeksi,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,ko_in,video,peta,kondisi,kl_dat_das,nm_dat_das,nm_obj_inf,thn_data,nm_ws,nm_das,id_sumur,kd_seri,jenis,debit,dbt_bsh_1,dbt_kering,dbt_bsh_2,kd_ws,infrastruktur,status2,sta_hibah,urut,id,kode_balai,kd_das,tahun_pembangunan,kondisi_bangunan,status_pekerjaan,sungai,cat,nama_sistem,elevasi,sistem_pengambilan,jenis_pompa,head_pompa,tahun_rehab_terakhir,kelembagaan,keterangan,panjang,jumlah_box_bagi,jumlah_springkel,musim_tanam_mt_1,musim_tanam_mt_2,musim_tanam_mt_3,shape,geometry
641,246915,e243834d-763c-4819-bf49-c3e3802909e3,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Eris,Maumbi,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,642,06.20.28250000654,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
642,246916,adc24dbe-c8af-46df-aec5-b51202fdf36e,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.57777,1.36472,,,,,,,SULAWESI UTARA,KAB. MINAHASA SELATAN,Tatapaan,Arakan,,,,,,,Mata Air,Mata Air Arakan,,,POIGAR-RANOYAPO,,,,,,,,,05.B.02,,,,643,06.20.28250000655,B_SUL1,05.B.02.000,2011,Beroperasi,Selesai,Mata Air Arakan,CAT TOMOHON-TUMPAAN,,82,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.5777700000001 1.364720000000034)
643,246917,eab0b263-4868-484b-9a28-0a3be8e223e4,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA SELATAN,Tatapaan,Arakan,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,644,06.20.28250000656,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
644,246918,6512a43f-fa75-43fc-80c3-647e2780dc75,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.173406,0.897012,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Bantik,,,,,,,Mata Air,Mata Air Bolaang,,,DUMOGA-SANGKUB,LETUNG,,,,,,,,05.A2.03,,,,645,06.20.28250000657,B_SUL1,05.A2.03.019,2012,Beroperasi,Selesai,Mata Air Bolaang,CAT PEKANBARU,,73,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.17340600000011 0.8970120000000747)
645,246919,72460358-36b8-4c34-b85d-e9e685168743,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Bantik,,,,,,,,Bak Pelepas Tekan,,,,,,,,,,,,0.XX.00,,,,646,06.20.28250000658,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
646,246920,57f239c4-1046-4e4c-9034-c0e605c31028,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Bantik,,,,,,,,Bak Pelepas Tekan,,,,,,,,,,,,0.XX.00,,,,647,06.20.28250000659,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
647,246921,ead1de14-7326-4dbc-a691-07979feaec6a,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Bantik,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,648,06.20.28250000660,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
648,246922,209e79b2-99c6-4149-ab00-16c5728b8c27,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Bolaang Timur,Bantik,,,,,,,,Bottom Up Infiltration,,,,,,,,,,,,0.XX.00,,,,649,06.20.28250000661,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
649,246923,807a4014-f0ff-4d9b-9baa-11dbfd10d719,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.77959,1.25373,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Sonder,Sendangan,,,,,,,Mata Air,Mata Air Sendangan,,,POIGAR-RANOYAPO,NIMANGA,,,,,,,,05.B.02,,,,650,06.20.28250000662,B_SUL1,05.B.02.005,2012,Beroperasi,Selesai,Mata Air Sendangan,CAT TOMOHON-TUMPAAN,,447,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.7795900000001 1.2537300000000755)
650,246924,562acade-70ad-4040-84ff-37c6fdadeaa8,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Sonder,Sendangan,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,651,06.20.28250000663,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
651,246925,eaafc4ae-f7a7-4d76-912c-140d0a1fcd24,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.86279,1.33564,,,,,,,SULAWESI UTARA,KOTA TOMOHON,Tomohon Timur,Paslaten Satu,,,,,,,Mata Air,Mata Air Paslaten,,,POIGAR-RANOYAPO,RANOWANGKO,,,,,,,,05.B.02,,,,652,06.20.28250000664,B_SUL1,05.B.02.008,2012,Beroperasi,Selesai,Mata Air Paslaten,CAT TOMOHON-TUMPAAN,,942,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.86279000000002 1.335640000000069)
652,246926,045a6d16-d90b-4c45-95ab-d1459cd8ce72,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KOTA TOMOHON,Tomohon Timur,Paslaten Satu,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,653,06.20.28250000665,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
653,246927,d18fe086-4607-465b-aa6e-a2ca7d7137e6,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KOTA TOMOHON,Tomohon Timur,Paslaten Satu,,,,,,,,Tandon,,,,,,,,,,,,0.XX.00,,,,654,06.20.28250000666,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
654,246928,4c9968bb-60b3-41e5-8d4c-5c50411a7507,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.73138,1.35105,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tombariri Timur,Lolah Satu,,,,,,,Mata Air,Mata Air Lolah,,,POIGAR-RANOYAPO,,,,,,,,,05.B.02,,,,655,06.20.28250000667,B_SUL1,05.B.02.000,2012,Beroperasi,Selesai,Mata Air Lolah,CAT TOMOHON-TUMPAAN,,351,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.73138000000006 1.3510500000000434)
655,246929,89192bb0-c9d6-454a-9e30-956028c532d6,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.72922,1.35265,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tombariri Timur,Lolah Satu,,,,,,,,Mata Air Kinamang,,,POIGAR-RANOYAPO,,,,,,,,,05.B.02,,,,656,06.20.28250000668,B_SUL1,05.B.02.000,,Tidak Beroperasi,Selesai,Mata Air Kinamang,CAT TOMOHON-TUMPAAN,,352,Pompa,Submersible,0,,,,0,0,0,,,,,POINT (124.72922000000005 1.3526500000000397)
656,246930,8323056f-c663-4525-b26e-1b0164ad8d2e,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tombariri,Tidak Diketahui,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,657,06.20.28250000669,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
657,246931,5aa04d59-e64f-4538-beac-2079d9b31d5b,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tombariri,Tidak Diketahui,,,,,,,,Reservoar,,,,,,,,,,,,0.XX.00,,,,658,06.20.28250000670,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
658,246932,76fd43b5-37eb-4233-a617-62e667f16145,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.975358,1.307525,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tondano Utara,Kampung Jawa,,,,,,,Mata Air,Mata Air Werot,,,TONDANO-SANGIHE-TALAUD-MIANGAS,SAWANGAN,,,,,,,,05.A3.01,,,,659,06.20.28250000671,B_SUL1,05.A3.01.075,2012,Beroperasi,Selesai,Mata Air Werot,CAT BITUNG-RATAHAN,,907,Gravitasi,,0,,,,0,0,0,,,,,POINT (124.97535800000003 1.3075250000000551)
659,246933,34091246-b412-456d-9d71-d2aba925f98d,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,,,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Tondano Utara,Kampung Jawa,,,,,,,,Bak Pelepas Tekan,,,,,,,,,,,,0.XX.00,,,,660,06.20.28250000672,B_SUL1,0.XX.00.000,,Tidak Beroperasi,Selesai,,NON CAT,,0,Gravitasi,,0,,,,0,0,0,,,,,
660,246934,4562c139-2dd8-4169-92b3-6ca2a09769b1,,1696554041000,,1696554041000,BALAI WILAYAH SUNGAI SULAWESI I,124.85795,1.23506,,,,,,,SULAWESI UTARA,KAB. MINAHASA,Remboken,Talikuran,,,,,,,Mata Air,Mata Air Romboken,,,TONDANO-SANGIHE-TALAUD-MIANGAS,TONDANO,,,,,,,,05.A3.01,,,,661,06.20.28250000673,B_SUL1,05.A3.01.061,2012,Beroperasi,Selesai,Mata Air Romboken,CAT MANADO,,694,Pompa,Submersible,0,,,,0,0,0,,,,,POINT (124.85795000000007 1.2350600000000327)
