,Provinsi,Tahun,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
81,Nusa Tenggara Barat,2020,3600.0,2300.0,350.0,1900.0,700.0,400.0,300.0,400.0,50.0
82,Nusa Tenggara Barat,2021,13821.0,3718.0,2269.0,4834.0,1536.0,651.0,568.0,1028.0,1575.0
83,Nusa Tenggara Barat,2022,28321.0,7458.0,6099.0,10812.0,4006.0,1181.0,1528.0,1438.0,6975.0
84,Nusa Tenggara Timur,2020,7140.0,2820.0,2440.0,3480.0,850.0,660.0,415.0,530.0,1665.0
85,Nusa Tenggara Timur,2021,9829.0,5550.0,4831.0,4660.0,965.0,927.0,485.0,747.0,2006.0
86,Nusa Tenggara Timur,2022,4850.0,4150.0,2900.0,4850.0,800.0,500.0,150.0,750.0,1050.0
87,Papua,2019,7208.0,4433.0,3262.0,2139.0,1753.0,207.0,129.0,498.0,371.0
88,Papua,2020,8832.0,5497.0,3890.0,5414.0,2562.0,707.0,1622.0,605.0,871.0
89,Papua,2021,13027.0,5972.0,5213.0,8322.0,2768.0,705.0,622.0,877.0,794.0
90,Papua,2022,6574.0,5929.0,6438.0,5614.0,2398.0,501.0,1013.0,833.0,500.0
91,Papua Barat,2018,4400.0,0.0,1100.0,2600.0,0.0,0.0,0.0,0.0,1900.0
92,Papua Barat,2020,4400.0,0.0,1100.0,2600.0,0.0,0.0,0.0,0.0,1900.0
93,Papua Barat,2021,4400.0,0.0,1100.0,2600.0,0.0,0.0,0.0,0.0,1900.0
94,Papua Barat,2022,5400.0,1500.0,3100.0,5100.0,1000.0,500.0,1000.0,500.0,1900.0
95,Papua Barat Daya,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Papua Barat Daya,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Papua Barat Daya,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Papua Barat Daya,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Papua Pegunungan,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Papua Selatan,2019,1500.0,1000.0,3000.0,2000.0,500.0,500.0,500.0,500.0,500.0
101,Papua Selatan,2020,2000.0,1000.0,1500.0,4000.0,400.0,300.0,300.0,300.0,200.0
102,Papua Selatan,2021,2000.0,1000.0,1500.0,4000.0,400.0,300.0,300.0,300.0,200.0
103,Papua Selatan,2022,8020.0,4250.0,4650.0,7460.0,570.0,920.0,550.0,1270.0,2310.0
104,Papua Tengah,2021,6256.0,1513.0,460.0,1132.0,48.0,195.0,0.0,179.0,217.0
105,Papua Tengah,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Riau,2019,6700.0,5800.0,3900.0,8500.0,1400.0,1000.0,900.0,1000.0,800.0
107,Riau,2020,6900.0,4300.0,7100.0,12400.0,2900.0,1000.0,1200.0,1100.0,1200.0
108,Riau,2021,20875.0,2725.0,2967.0,7445.0,575.0,775.0,715.0,765.0,3158.0
109,Riau,2022,27037.0,4512.0,4899.0,9017.0,1149.0,1658.0,1261.0,1507.0,8906.0
110,Sulawesi Barat,2019,6506.0,1235.0,805.0,650.0,555.0,45.0,35.0,27.0,142.0
111,Sulawesi Barat,2020,11071.0,2221.0,5550.0,6549.0,1792.0,320.0,175.0,560.0,1762.0
