,Provinsi,Tahun,Timbulan Sampah Harian (Ton),Timbulan Sampah Tahunan (Ton),Sampah masuk (ton/tahun),Sampah terkelola (ton/tahun),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
75,Maluku,2022,201.0,73365.88,48.0,48.0,0.0,0.0,48000.0,0.0,3900.0,1800.0,1670.0,4450.0,100.0,100.0,100.0,100.0,306.0
76,Maluku Utara,2019,255.12,93119.65,63.87821999999999,61.468619999999994,0.0,0.0,47103.299999999996,14365.32,8800.0,3070.0,2260.0,2540.0,860.0,240.0,250.0,950.0,1030.0
77,Maluku Utara,2020,214.01999999999998,78117.38,63.87821999999999,61.468619999999994,0.0,0.0,47103.299999999996,14365.32,8376.0,4082.0,2474.0,2507.0,322.0,143.0,172.0,806.0,1118.0
78,Maluku Utara,2021,46.12,16834.53,124.21643999999999,119.39724,0.0,0.0,90666.59999999999,28730.64,3400.0,2500.0,1200.0,1180.0,230.0,80.0,150.0,580.0,680.0
79,Maluku Utara,2022,184.66,67401.48,3.54,3.54,0.0,0.0,3540.0,0.0,4986.0,1590.0,1279.0,1334.0,84.0,419.0,89.0,208.0,11.0
80,Nusa Tenggara Barat,2019,552.36,201611.65,5788.24422,3743.30512,42782.76,56194.369999999995,3635470.9200000004,8857.06,4930.0,2970.0,350.0,1050.0,120.0,400.0,40.0,130.0,10.0
81,Nusa Tenggara Barat,2020,556.77,203220.16,5788.24422,3743.30512,42782.76,56194.369999999995,3635470.9200000004,8857.06,3600.0,2300.0,350.0,1900.0,700.0,400.0,300.0,400.0,50.0
82,Nusa Tenggara Barat,2021,1006.8800000000001,367512.99,1619.4551999999999,1566.5112,0.0,12600.0,1543471.2,10440.0,13821.0,3718.0,2269.0,4834.0,1536.0,651.0,568.0,1028.0,1575.0
83,Nusa Tenggara Barat,2022,2232.33,814803.9600000001,9957.03324,5920.09904,85565.52,99788.73999999999,5727470.640000001,7274.12,28321.0,7458.0,6099.0,10812.0,4006.0,1181.0,1528.0,1438.0,6975.0
84,Nusa Tenggara Timur,2020,243.13,88742.67,60.0,52.2,0.0,0.0,52200.0,0.0,7140.0,2820.0,2440.0,3480.0,850.0,660.0,415.0,530.0,1665.0
85,Nusa Tenggara Timur,2021,446.09000000000003,162822.84999999998,108.0,93.97200000000001,0.0,0.0,93972.0,0.0,9829.0,5550.0,4831.0,4660.0,965.0,927.0,485.0,747.0,2006.0
86,Nusa Tenggara Timur,2022,312.79,114165.07,203.88,201.46800000000002,0.0,0.0,201468.0,0.0,4850.0,4150.0,2900.0,4850.0,800.0,500.0,150.0,750.0,1050.0
87,Papua,2019,310.8,113443.75,634646.93299,3578.1887,0.0,0.0,3578188.7,0.0,7208.0,4433.0,3262.0,2139.0,1753.0,207.0,129.0,498.0,371.0
88,Papua,2020,337.14,123056.46,19.752,19.752,0.0,0.0,19752.0,0.0,8832.0,5497.0,3890.0,5414.0,2562.0,707.0,1622.0,605.0,871.0
89,Papua,2021,385.11,140563.97999999998,128.1405,126.0295,960.0,960.0,121229.5,2880.0,13027.0,5972.0,5213.0,8322.0,2768.0,705.0,622.0,877.0,794.0
