Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
5309 101 2022 012 023 1,5309,23/12/22,BANJIR,FLORES TIMUR,Nusa Tenggara Timur, gelombang tinggi dan menghancurkan talud penahan gelombang sehingga air laut menggenangi pemukiman warga,0,0,0,0,120,0
7601 101 2022 012 023 1,7601,23/12/22,BANJIR,MAJENE,Sulawesi Barat," Pada tanggal 23 Desember 2022 pukul 15.00 WITA hujan mulai turun, dan pukul 16;00 mulai terjadi gelombang pasang dan puncaknya pukul 17:30 ketinggian gelombang pasang mencapai 1 s.d 2 meter. Gelombang pasang menghantam wilayah pesisir dan wilayah permukiman yang dekat dengan wilayah pesisir pantai",1,0,0,266,537,0
7601 101 2022 012 023 1,7601,23/12/22,BANJIR,MAJENE,Sulawesi Barat,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,223,0
3310 101 2022 012 023 1,3310,23/12/22,BANJIR,KLATEN,Jawa Tengah,Terjadi hujan dengan intensitas sedang hingga lebat disertai angin kencang,0,0,0,1,170,0
7315 101 2022 012 023 1,7315,23/12/22,BANJIR,PINRANG,Sulawesi Selatan,Dipicu hujan dengan intensitas sedang hingga lebat yang di sertai dengan adanya angin kencang,0,0,0,0,1790,0
6409 101 2022 012 023 1,6409,23/12/22,BANJIR,PENAJAM PASER UTARA,Kalimantan Timur,Kondisi pasang tinggi air laut terjadi hujan deras yang disertai angin kencang mengakibatkan gelombang air laut cukup besar /dorongan air laut yang kuat sehingga menghantam ke perumahan warga yang berada tepat di dekat pantai .,0,0,0,0,9,0
7304 101 2022 012 023 1,7304,23/12/22,BANJIR,JENEPONTO,Sulawesi Selatan,Hujan deras disertai ombak besar dan Roboh,0,0,0,1,0,0
1805 101 2022 012 023 1,1805,23/12/22,BANJIR,LAMPUNG TENGAH,Lampung,Dipicu hujan lebat dan  aliran air sungai meluap,0,0,0,0,7,0
3512 101 2022 012 022 1,3512,22/12/22,BANJIR,SITUBONDO,Jawa Timur,terjadi banjir ROB / pasang air laut memasuki rumah warga,0,0,0,0,140,0
3372 101 2022 012 022 1,3372,22/12/22,BANJIR,KOTA SURAKARTA,Jawa Tengah,Dipicu hujan deras di seputar soloraya,0,0,0,0,729,0
1212 101 2022 012 022 1,1212,22/12/22,BANJIR,DELI SERDANG,Sumatera Utara,Hujan dengan intensitas tinggi menyebabkan debit air di drainase naik Mengakibatkan drainase tidak dapat menampung air hingga meluap ke pemukiman warga,0,0,0,0,101,0
7111 101 2022 012 022 1,7111,22/12/22,BANJIR,BOLAANG MONGONDOW TIMUR,Sulawesi Utara,Dipicu akibat intensitas curah hujan tinggi,0,0,0,0,4,0
3209 101 2022 012 021 1,3209,21/12/22,BANJIR,CIREBON,Jawa Barat,Hujan dengan intensitas tinggi sehingga menyebabkan meluapnya Sungai Kali Lunyu Kalijaga dan Cikalong.,0,0,0,0,1551,0
3274 101 2022 012 021 1,3274,21/12/22,BANJIR,KOTA CIREBON,Jawa Barat,Hujan dengan intensitas sedang-tinggi disertai angin kencang selama ±3 Jam di Kota Cirebon,0,0,0,0,80,0
1213 101 2022 012 021 1,1213,21/12/22,BANJIR,LANGKAT,Sumatera Utara,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai area pemukiman warga lebih rendah daripada sungai,0,0,0,0,2557,0
1114 101 2022 012 021 1,1114,21/12/22,BANJIR,ACEH TAMIANG,Aceh,Dipicu akibat intensitas curah hujan tinggi menyebabkan tanggul sungai jebol,0,0,0,0,143,0
1174 101 2022 012 020 1,1174,20/12/22,BANJIR,KOTA LHOKSEUMAWE,Aceh,dipicu Hujan selama bulan Desember dengan intensitas tinggi hingga sungai krung pase tidak sanggup menampung debet air yang besar sehingga meluap ke pemukiman penduduk terutama di Desa Blang Buloh Kec. Blang Mangat.,0,0,0,0,706,0
1111 101 2022 012 020 1,1111,20/12/22,BANJIR,ACEH UTARA,Aceh,"Dipicu oleh hujan dengan intensitas sedang hingga tinggi menyebabkan debit air sungai Krueng Keureuto, Krueng Peuto dan sungai Krueng pase mulai meninggi dan meluap",0,0,0,0,1866,0
1105 101 2022 012 020 1,1105,20/12/22,BANJIR,ACEH TIMUR,Aceh,Dipicu curah hujan yang tinggi disertai meluapnya beberapa sungai sehingga menyebabkan terjadinya banjir dan tanah longsor,0,0,0,0,156,0
3318 101 2022 012 019 1,3318,19/12/22,BANJIR,PATI,Jawa Tengah,Hujan yang terjadi selama 2 jam mengakibatkan pondasi jembatan tergerus aliran sungai maron dan mengakibatkan separuh badan jembatan berlubang dan tidak bisa dilalui kendaraan roda empat.,0,0,0,0,495,0
7108 101 2022 012 018 1,7108,18/12/22,BANJIR,KEPULAUAN SIAU TAGULANDANG BIARO,Sulawesi Utara,hujan dengan intensitas tinggi dan berdurasi lama,1,0,0,0,60,0
3215 101 2022 012 018 1,3215,18/12/22,BANJIR,KARAWANG,Jawa Barat,hujan sedang hingga lebat dengan durasi lama.,0,0,0,0,669,0
1101 101 2022 012 018 1,1101,18/12/22,BANJIR,SIMEULUE,Aceh,hujan dengan intensitas sedang hingga lebat yang mengguyur Kab. Simeulue,0,0,0,0,128,0
1274 101 2022 012 018 1,1274,18/12/22,BANJIR,KOTA TEBING TINGGI,Sumatera Utara,"Dipicu curah hujan tinggi dengan durasi cukup lama yang terjadi di hulu sungai padang yaitu di Kab. Serdang Bedagai sungai Pispis dan beberapa anak sungai, sehingga menyebabkan meluapnya air sungai Padang dan menggenangi pemukiman warga sejak hari Minggu, 18 Desember 2022, Pkl. 21:00 WIB hingga saat ini",0,0,0,0,1224,0
1213 101 2022 012 018 1,1213,18/12/22,BANJIR,LANGKAT,Sumatera Utara,Dipicu hujan dengan intesitas tinggi,0,0,0,0,1903,0
3211 101 2022 012 017 1,3211,17/12/22,BANJIR,SUMEDANG,Jawa Barat,"Dipicu hujan dengan intensitas tinggi pada hari Sabtu, 17 Desember 2022 dan berangsur lama sejak pkl. 14:00 WIB sehingga mengakibatkan air sungai meluap & struktur tanah menjadi labil",2,0,0,33,1703,0
6106 101 2022 012 017 1,6106,17/12/22,BANJIR,KETAPANG,Kalimantan Barat,Hujan dengan intensitas tinggi sehingga sungai tidak mampu menampung debit air hujan sehingga terjadi banjir .,0,0,0,0,959,0
3205 101 2022 012 016 1,3205,16/12/22,BANJIR,GARUT,Jawa Barat,"Dipicu hujan deras di wilayah Cikajang sehingga mengakibatkan sungai anak Cikaray dan sungai Cigentur meluap pada hari Jumat, 16 Des 2022, Pkl. 13:00 WIB",0,0,0,0,32,0
