"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",32,2005,74514.12254546970698340,41383048.148489998561553
"IDN",33,2005,14.94000955874647281,7497.387923234255694
"IDN",1,2006,21284.83679797389764023,13407214.730645611606777
"IDN",2,2006,514.65772368467335909,316074.897123353151488
"IDN",3,2006,20241.31502070749503038,10492251.079320619213176
"IDN",4,2006,1938.20717552643328186,1060980.001505341239590
"IDN",5,2006,23588.42805416911949055,15408477.918611164161776
"IDN",6,2006,5249.71466024587800364,3498221.243995213537483
"IDN",7,2006,3.9774790930023878,1396.6604308792646
"IDN",8,2006,119578.20804426756125862,83398021.752155984244631
"IDN",9,2006,5243.67044557158312882,3141595.790348706076088
"IDN",10,2006,3474.46469078231668080,1907293.218035621176438
"IDN",11,2006,5745.76257733573944007,3550824.970693892714892
"IDN",12,2006,130919.97633603206961257,91273606.380708766224589
"IDN",13,2006,54015.67383227171458036,30034228.449421057007779
"IDN",14,2006,221890.81009420681326344,145165031.1356484899079006
"IDN",15,2006,152369.73748937628395559,95477138.774132927499803
"IDN",16,2006,5432.31043332721556420,3134199.076354488746859
"IDN",17,2006,14046.65162404319107143,7308155.137012982622385
"IDN",18,2006,16112.27298901801777052,12290663.670241933926320
"IDN",19,2006,12416.67701080363089905,8972217.911116621611540
"IDN",20,2006,2485.47368995631135322,1415911.066134410185610
"IDN",21,2006,6986.63095809826472758,3712225.840770867707995
"IDN",22,2006,11048.91653721305156494,8300387.016100003037713
"IDN",23,2006,21300.84112648599266861,15747369.071589670949730
"IDN",24,2006,202107.58791444712026936,184010285.4311166393470153
"IDN",25,2006,11481.53658156887828412,8242029.392098941283128
"IDN",26,2006,13890.86107582549756211,8705666.510120683848303
"IDN",27,2006,30634.25733408610706776,21721865.757844933273211
"IDN",28,2006,44384.09376205697194782,28759543.052043048790711
"IDN",29,2006,4894.01911520027034228,3548381.468776012162223
"IDN",30,2006,32715.02981830066830128,23359413.295790508484485
"IDN",31,2006,170367.74220737020447784,137503801.1781958139587146
"IDN",32,2006,66724.16110211988334237,35902556.522814906140891
"IDN",33,2006,61.73048976124187047,31990.075468748940081
"IDN",1,2007,24168.41079237899088735,14848387.906780472286120
"IDN",2,2007,502.76988918777607103,306533.008789028180261
"IDN",3,2007,23237.46211851984193436,11697492.791569549870699
"IDN",4,2007,1061.43813404389652813,594139.345883126779988
"IDN",5,2007,17580.26727271408924587,12142348.4611239452562975
"IDN",6,2007,4328.67617373948916598,2859506.947693458328748
"IDN",7,2007,2.1418776000732427,795.0021398231504
"IDN",8,2007,118972.99893212137834721,92129678.341430248548975
"IDN",9,2007,3054.60535516375082083,1992303.757323113126074
"IDN",10,2007,2897.63240947232804884,1715668.249939456723316
"IDN",11,2007,4430.36704200891911151,2837000.226597909459330
"IDN",12,2007,132080.71887518541130413,97851603.269486847807355
"IDN",13,2007,29584.24129291858691595,16942206.623733971315945
"IDN",14,2007,291717.31770847573314411,279701220.025555490633206
"IDN",15,2007,152730.52072414063287237,97878660.268305388722921
"IDN",16,2007,2687.72540007503839351,1461762.866696561787772
"IDN",17,2007,15583.15286771836442198,7769689.297417092652795
"IDN",18,2007,5352.43674976874413311,4067987.454916396887070
"IDN",19,2007,4455.58280747765069769,3154835.434638828318607
"IDN",20,2007,1993.04372353039151650,1160318.352295198575245
"IDN",21,2007,5032.62543679535812599,2566754.000198036699602
"IDN",22,2007,6647.96134425005620806,5328059.381428642065336
"IDN",23,2007,21136.06422570077138385,16191416.933055695516695
"IDN",24,2007,211990.97828038339324384,213272998.342684051962058
"IDN",25,2007,4150.73032056989211669,2955512.276676996542922
"IDN",26,2007,9525.27600516509499455,5846114.610089881308928
"IDN",27,2007,20347.84752588244874560,14167223.585973476702535
"IDN",28,2007,9983.60433642432463311,6923234.312031580601709
"IDN",29,2007,4278.48169260632753150,3134286.449790867152424
"IDN",30,2007,31670.96731818692352121,22441526.662066096634441
"IDN",31,2007,173986.90893249712377302,164862242.6650527873568213
"IDN",32,2007,52432.74747332248537266,27442965.537936152796108
"IDN",33,2007,19.58944890764051499,9504.14915825604798
"IDN",1,2008,36734.47275075416797544,24091801.380660119027429
"IDN",2,2008,229.54104949839627411,144378.775683580344865
"IDN",3,2008,22677.86002466478150426,10924625.710795352976095
"IDN",4,2008,929.74555934379390324,550867.271995121269828
"IDN",5,2008,22353.23597616783917829,15142313.912508070751618
"IDN",6,2008,1794.71058768799931246,1142727.3784940226753785
"IDN",7,2008,1.7603814885348847,118.94492570749364
"IDN",8,2008,124204.78289467500262060,101653933.687051956783492
"IDN",9,2008,5116.36337232237747776,3328056.555812857002081
"IDN",10,2008,2656.88220381518023847,1554826.505873438890691
"IDN",11,2008,3993.81716107272241687,2537887.803821810407524
"IDN",12,2008,202683.60573446612135950,134881818.874231293732415
"IDN",13,2008,18694.83519583803328354,10352836.004317007196394
"IDN",14,2008,204626.50680176261056303,140846248.004529522434057
"IDN",15,2008,144946.99503469660524824,97815845.428102247235563
"IDN",16,2008,8706.54760063863141505,5013989.863942494186527
"IDN",17,2008,16173.17004248061918181,8842712.300760726742630
"IDN",18,2008,4954.97014466285073372,3775881.184365366798110
"IDN",19,2008,2934.70873879182734652,1985526.838852920191760
"IDN",20,2008,2734.66052761930031626,1468544.317567631817835
"IDN",21,2008,4450.97446613340414119,2308858.147567621459437
"IDN",22,2008,7889.89355332314789033,6299995.249539646298750
"IDN",23,2008,15554.91080783476448546,11622323.422148255070033
"IDN",24,2008,204517.54977456286617387,185987121.553743499506420
"IDN",25,2008,12539.99147377445320373,8417029.684952719259435
"IDN",26,2008,8126.69627868943665054,4487441.147840671901936
"IDN",27,2008,16732.74269311309066819,11617236.452522590120481
"IDN",28,2008,8699.44821636455341647,5697639.331491497383430
"IDN",29,2008,1607.98884041379866488,1157005.753340766812796
"IDN",30,2008,34036.38970209672463271,24274476.778339797435665
"IDN",31,2008,189246.64857362612569182,147878912.1311714250091974
"IDN",32,2008,65671.13885209214341172,39456877.052047699592630
"IDN",33,2008,27.74477792028266660,13933.98725330383807
"IDN",1,2009,69111.40335217200016654,43263437.647397668803029
"IDN",2,2009,376.24925898193410472,229352.204550864028637
"IDN",3,2009,63895.32027285431611362,32373579.814831202791759
"IDN",4,2009,2754.77839839678530543,1671372.019724416471379
"IDN",5,2009,18755.74926899279737096,13027026.501649744796641
"IDN",6,2009,11262.75176152329349679,7008279.340871874821758
"IDN",7,2009,0.61229216629204644,37.90938811395793
"IDN",8,2009,125511.16071992389343683,96934634.944319608685830
"IDN",9,2009,2885.94412027938476985,1815427.744588497298379
"IDN",10,2009,3053.56260371164766374,1822930.964584601106088
"IDN",11,2009,4276.69450156394152938,2669979.391595409480641
"IDN",12,2009,288606.17283146511997229,213196595.603070946264920
"IDN",13,2009,60465.15107622689613185,35654350.541080416004524
"IDN",14,2009,194376.93998924375363097,141899671.067119912136162
"IDN",15,2009,263221.36744132853479218,173360202.805931074927143
"IDN",16,2009,5232.69351533817491061,3006057.484781583790554
"IDN",17,2009,23140.69636737576184860,11549342.293371023607540
